count,x,y,reindexed_id,sensor_id,sin_hour,cos_hour
116,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
117,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
118,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
119,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
120,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
121,457.69,399.515,1,1,-1.1367198218633791e-13,1.0
122,459.829,397.516,1,1,-1.1367198218633791e-13,1.0
123,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
124,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
125,418.214,382.05,1,1,-1.1367198218633791e-13,1.0
126,406.896,375.142,1,1,-1.1367198218633791e-13,1.0
127,404.94,374.25,1,1,-1.1367198218633791e-13,1.0
128,406.012,371.158,1,1,-1.1367198218633791e-13,1.0
129,403.994,367.065,1,1,-1.1367198218633791e-13,1.0
130,406.817,364.956,1,1,-1.1367198218633791e-13,1.0
131,408.009,360.364,1,1,-1.1367198218633791e-13,1.0
132,394.934,355.064,1,1,-1.1367198218633791e-13,1.0
133,407.048,360.019,1,1,-1.1367198218633791e-13,1.0
134,490.294,366.65,1,1,-1.1367198218633791e-13,1.0
135,492.98,364.804,1,1,-1.1367198218633791e-13,1.0
136,382.762,399.766,1,1,-1.1367198218633791e-13,1.0
137,382.128,402.184,1,1,-1.1367198218633791e-13,1.0
138,384.059,405.029,1,1,-1.1367198218633791e-13,1.0
139,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
140,383.765,403.354,1,1,-1.1367198218633791e-13,1.0
141,382.8,402.386,1,1,-1.1367198218633791e-13,1.0
142,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
143,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
144,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
145,380.08,396.335,1,1,-1.1367198218633791e-13,1.0
146,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
147,379.928,396.354,1,1,-1.1367198218633791e-13,1.0
148,379.066,396.298,1,1,-1.1367198218633791e-13,1.0
149,379.324,395.682,1,1,-1.1367198218633791e-13,1.0
150,380.328,396.603,1,1,-1.1367198218633791e-13,1.0
151,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
152,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
153,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
154,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
155,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
156,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
157,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
158,379.811,396.661,1,1,-1.1367198218633791e-13,1.0
159,380.773,396.573,1,1,-1.1367198218633791e-13,1.0
160,380.617,397.627,1,1,-1.1367198218633791e-13,1.0
161,381.642,397.617,1,1,-1.1367198218633791e-13,1.0
162,381.682,396.618,1,1,-1.1367198218633791e-13,1.0
163,381.649,397.533,1,1,-1.1367198218633791e-13,1.0
164,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
165,381.382,397.214,1,1,-1.1367198218633791e-13,1.0
166,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
167,381.708,396.676,1,1,-1.1367198218633791e-13,1.0
168,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
169,381.825,397.51,1,1,-1.1367198218633791e-13,1.0
170,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
171,382.633,395.286,1,1,-1.1367198218633791e-13,1.0
172,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
173,382.542,395.376,1,1,-1.1367198218633791e-13,1.0
174,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
