count,x,y,reindexed_id,sensor_id
1,391.018,362.485,1,1
2,392.377,364.043,1,1
3,391.227,363.39,1,1
4,390.528,362.747,1,1
5,391.711,363.67,1,1
6,392.67,363.637,1,1
7,390.904,362.643,1,1
8,391.65,361.976,1,1
9,390.31,361.951,1,1
10,391.34,361.094,1,1
11,391.814,362.579,1,1
12,391.801,361.826,1,1
13,391.755,361.793,1,1
14,390.122,358.736,1,1
15,389.567,360.199,1,1
16,390.43,360.216,1,1
17,389.115,359.09,1,1
18,391.146,360.931,1,1
19,390.989,360.546,1,1
20,391.122,359.159,1,1
21,391.05,360.569,1,1
22,0,0,1,1
23,387.926,358.302,1,1
24,389.132,357.472,1,1
25,0,0,1,1
26,388.914,359.84,1,1
27,388.597,357.918,1,1
28,388.389,359.806,1,1
29,388.944,360.402,1,1
30,389.744,361.115,1,1
31,387.615,359.843,1,1
32,389.632,361.902,1,1
33,390.089,361.674,1,1
34,389.269,361.738,1,1
35,389.75,361.99,1,1
36,388.625,361.794,1,1
37,389.136,361.036,1,1
38,387.955,359.595,1,1
39,389.063,358.574,1,1
40,387.56,359.343,1,1
41,386.957,359.366,1,1
42,387.823,360.103,1,1
43,386.904,359.3,1,1
44,386.859,360.919,1,1
45,386.136,360.132,1,1
46,385.304,360.281,1,1
47,388.45,360.265,1,1
48,387.94,361.764,1,1
49,387.936,361.802,1,1
50,389.709,361.259,1,1
51,388.395,363.601,1,1
52,389.447,364.383,1,1
53,388.692,361.956,1,1
54,386.077,363.828,1,1
55,0,0,1,1
56,385.596,365.315,1,1
57,385.959,366.48,1,1
58,383.743,367.494,1,1
59,388.063,368.382,1,1
60,387.027,369.29,1,1
61,384.912,369.274,1,1
62,385.37,368.692,1,1
63,383.375,370.652,1,1
64,385.188,370.133,1,1
65,384.367,372.66,1,1
66,386.106,373.153,1,1
67,385.443,374.497,1,1
68,382.316,374.142,1,1
69,384.472,372.083,1,1
70,382.481,377.916,1,1
71,383.958,378.224,1,1
72,381.21,378.095,1,1
73,380.644,378.336,1,1
74,381.591,379.56,1,1
75,0,0,1,1
76,0,0,1,1
77,0,0,1,1
78,0,0,1,1
79,0,0,1,1
80,0,0,1,1
81,0,0,1,1
82,0,0,1,1
83,0,0,1,1
84,0,0,1,1
85,0,0,1,1
86,0,0,1,1
87,0,0,1,1
88,0,0,1,1
89,370.661,399.724,1,1
90,379.831,406.688,1,1
91,375.715,398.644,1,1
92,378.985,404.217,1,1
93,406.843,509.738,1,1
94,403.383,498.84,1,1
95,412.582,496.842,1,1
96,416.267,493.888,1,1
97,422.057,492.298,1,1
98,391.383,464.8,1,1
99,406.77,471.163,1,1
100,0,0,1,1
101,427.202,472.678,1,1
102,433.153,465.585,1,1
103,352.642,410.422,1,1
104,436.527,457.3,1,1
105,435.457,448.842,1,1
106,0,0,1,1
107,358.566,402.611,1,1
108,0,0,1,1
109,0,0,1,1
110,0,0,1,1
111,0,0,1,1
112,0,0,1,1
113,0,0,1,1
114,0,0,1,1
115,0,0,1,1
116,0,0,1,1
117,0,0,1,1
118,0,0,1,1
119,0,0,1,1
120,0,0,1,1
121,457.69,399.515,1,1
122,459.829,397.516,1,1
123,0,0,1,1
124,0,0,1,1
125,418.214,382.05,1,1
126,406.896,375.142,1,1
127,404.94,374.25,1,1
128,406.012,371.158,1,1
129,403.994,367.065,1,1
130,406.817,364.956,1,1
131,408.009,360.364,1,1
132,394.934,355.064,1,1
133,407.048,360.019,1,1
134,490.294,366.65,1,1
135,492.98,364.804,1,1
136,382.762,399.766,1,1
137,382.128,402.184,1,1
138,384.059,405.029,1,1
139,0,0,1,1
140,383.765,403.354,1,1
141,382.8,402.386,1,1
142,0,0,1,1
143,0,0,1,1
144,0,0,1,1
145,380.08,396.335,1,1
146,0,0,1,1
147,379.928,396.354,1,1
148,379.066,396.298,1,1
149,379.324,395.682,1,1
150,380.328,396.603,1,1
151,0,0,1,1
152,0,0,1,1
153,0,0,1,1
154,0,0,1,1
155,0,0,1,1
156,0,0,1,1
157,0,0,1,1
158,379.811,396.661,1,1
159,380.773,396.573,1,1
160,380.617,397.627,1,1
161,381.642,397.617,1,1
162,381.682,396.618,1,1
163,381.649,397.533,1,1
164,0,0,1,1
165,381.382,397.214,1,1
166,0,0,1,1
167,381.708,396.676,1,1
168,0,0,1,1
169,381.825,397.51,1,1
170,0,0,1,1
171,382.633,395.286,1,1
172,0,0,1,1
173,382.542,395.376,1,1
174,0,0,1,1
